Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
4,422,39631040
1,493,44360303
7,503,40860933
2,380,38751434
3,467,38079336
3,452,42342528
3,439,41498165
1,298,34673624
4,607,49204392
2,436,37903912
4,541,47363780
2,461,36546654
4,519,40237490
4,363,35717106
5,407,38764311
7,488,43145209
2,380,40899575
5,494,43014325
5,492,43628214
5,522,42440132
5,468,39986550
6,459,39991882
5,464,39668510
7,392,43211631
8,547,40506123
7,426,36561115
1,569,49281267
6,439,43932933
5,519,42031095
7,412,41413066
13,523,42671013
5,442,39686649
6,429,42361766
13,400,33412322
3,401,41329707
4,441,45941863
6,445,39403293
6,464,44301868
6,618,47010439
12,482,40611468
4,464,40539252
1,438,43069101
4,418,43345641
2,380,37591115
2,408,42649489
3,527,35757427
2,427,40776692
2,410,37328867
2,444,38983394
3,545,44129154
4,434,43496222
4,459,37131972
6,401,37247504
2,424,41269059
2,376,38127296
4,393,35279788
5,367,39868238
5,451,42305480
6,709,47268794
5,439,39986723
7,444,39913461
5,462,39665697
5,461,40901727
1,409,37131721
5,501,43630163
4,484,39629898
6,634,44367780
5,522,40112848
4,514,44900985
4,306,33306358
3,372,38040024
4,346,37780510
1,377,41192068
7,515,47920023
4,473,37770431
3,507,39652364
8,444,38310947
11,635,46324194
7,440,39884870
5,619,40162827
1,449,39840985
4,527,45550347
6,514,43896100
10,475,33913449
2,490,50149677
1,524,40490439
4,392,38707862
1,439,45115390
7,428,39739387
3,387,42440406
4,465,44763549
8,595,44300223
3,486,42200506
2,503,43702757
2,587,45274010
5,385,37650855
1,520,46474344
4,490,38159602
5,405,40726523
6,423,43060939
3,462,42380354
3,440,40663579
4,407,40531397
5,463,41512731
10,589,36738028
5,555,43858439
4,525,41344650
4,611,50776198
4,402,38388815
3,435,37747122
1,422,37266464
7,533,44919550
3,428,40380714
9,397,39778280
10,548,46846184
6,481,41500879
2,401,36889820
4,467,39225043
3,538,42453998
3,393,40855398
7,375,40170543
7,472,41554021
6,518,43776367
2,418,44390663
4,318,35871182
7,468,44156434
7,488,38868847
5,471,43951905
3,540,38468026
6,405,39118922
6,386,40796439
1,275,38134216
6,573,44314464
10,435,39202377
5,451,42286900
6,515,39183019
4,494,43611129
5,450,32914640
3,471,40326719
2,427,43076521
2,599,47323950
7,521,41194488
3,435,41213535
6,440,40116750
5,445,41102686
4,513,40614909
3,447,43840239
3,440,39024020
5,345,33238670
2,444,40191040
3,374,39628134
2,335,37689103
7,494,44783359
7,466,44836133
5,380,41037895
2,480,41374679
3,324,36552946
3,421,41790045
4,311,34684430
3,372,43169884
6,639,46827423
5,449,41420251
5,418,38117336
5,458,36465041
7,442,37889211
5,434,41320751
3,361,38791090
5,409,44032327
4,500,46589504
5,453,44436350
3,413,38291894
5,520,43243401
7,503,37534535
8,476,40280272
3,536,51084769
10,389,36143596
5,400,39828875
6,455,35356123
6,489,41524848
5,425,34582723
3,432,42019172
2,504,41296697
3,348,37665600
5,459,45510540
7,507,37777189
5,520,39234740
4,396,35243331
5,595,42957908
4,408,38500260
6,432,38738289
0,442,38906373
5,494,41736672
3,530,46024295
2,434,43183471
7,524,42642800
7,382,42785128
8,506,40561463
2,395,39771772
2,472,43241882
7,449,42578824
4,378,40006563
1,422,47009032
6,423,37245105
2,424,39705070
5,539,43747243
5,546,41632182
6,409,33250032
5,364,38581482
2,309,40301075
5,467,42335124
2,596,41997722
4,477,42547095
11,437,34631331
7,602,47065909
1,467,42170692
3,529,43391443
4,358,41003670
3,480,40731025
2,426,39225149
4,544,42359497
2,404,40776336
9,499,40816920
6,458,37715168
9,437,35703134
6,469,37064813
5,467,43065271
4,417,38981009
5,429,41989400
5,449,41347893
4,455,42466072
6,369,38287160
3,448,39641507
5,417,44511519
8,431,39952062
6,472,36395238
0,525,39124992
6,476,47301931
5,397,40465595
5,418,34051051
6,410,32310528
8,536,47809304
6,450,42635411
6,413,39114653
5,499,41205531
1,455,42538766
5,445,41632531
2,473,39527303
4,351,35151461
6,469,38336012
6,297,34370692
5,462,42277972
5,511,42760778
4,542,42974283
3,460,44637575
4,585,46543224
4,475,38850362
2,529,43063396
4,519,44145985
2,329,34945179
1,401,38965048
4,392,35680624
4,418,41178057
0,470,43654991
6,330,36638276
2,401,35245011
7,415,37527258
6,492,41004851
1,446,39432063
2,370,34426528
3,376,37795671
2,492,43145428
11,601,43224503
8,524,45822322
3,433,44018625
11,564,42953642
4,439,36774001
4,367,34992737
4,340,40315515
4,474,37942280
1,397,37439623
6,465,41677885
5,385,31857514
6,465,36808300
5,321,34173899
6,512,45249581
5,431,39313217
7,350,37108660
2,440,39202345
5,371,33117228
3,590,49696159
4,498,38766132
5,513,40686985
2,439,36460412
3,341,37038899
6,482,42664958
5,415,38560396
2,316,31096225
5,348,35267405
6,508,47704082
6,499,39984488
4,477,39242679
4,340,38647273
4,393,36061828
3,469,44649555
6,444,39694093
3,492,42651572
4,450,40519082
5,492,45161671
4,474,44208518
5,292,31384317
4,410,35888097
0,381,36691366
3,542,43151277
2,384,36708615
2,359,41347986
3,453,43162854
4,541,47165780
2,390,38804432
11,579,44211180
4,409,37386371
5,385,39710972
7,340,36540655
3,423,42325194
7,526,40885407
5,488,40667431
7,615,37541142
3,420,40586655
4,423,37725118
8,492,40855687
3,420,44278769
1,374,39077689
2,440,38004752
3,448,46280980
1,390,43277458
4,489,38944796
6,463,42566439
4,499,41904363
5,454,43303034
3,387,41066740
5,400,36863506
6,383,37781382
5,452,37935132
7,345,36306359
7,501,44282276
4,381,41243500
2,428,45979835
6,356,36242858
2,408,42050286
3,503,42444861
2,575,50083686
6,412,39169614
5,585,41636442
6,489,45582784
6,356,40338706
4,383,41984004
4,492,40253878
3,392,39541886
3,496,41355489
9,363,33484968
5,416,38814140
5,371,37920167
6,413,38624912
3,321,37495400
1,407,37342635
10,490,42561456
4,430,35289663
5,490,44892709
6,397,41696368
4,392,33710443
2,537,41830646
3,493,41754881
4,438,38609498
5,542,46381898
5,536,42639493
5,438,42636433
4,494,42748822
3,493,42797060
9,429,37514179
6,474,42716944
6,454,38119913
5,514,43242662
4,430,39081111
5,497,38172472
6,501,38302180
4,498,40538395
8,579,41962049
2,415,43297008
6,424,40172970
9,492,41917884
4,453,38418571
6,542,42591835
2,590,43289736
9,578,42795330
3,544,45702992
5,479,41112709
7,398,39576068
3,409,40230525
4,400,44711502
4,439,38540443
4,433,39807857
5,420,36711943
4,385,40390365
4,462,41643125
7,505,45726336
4,397,39412218
5,463,41116465
3,381,39740693
3,549,45359334
4,507,42745246
7,521,41260227
4,487,43958626
2,395,41332496
3,512,45525313
5,583,45412206
9,423,42866114
5,399,41885480
6,381,36261574
12,469,40919628
4,555,42658489
3,364,33965527
3,307,32842639
5,564,41336775
2,498,43713851
4,413,39689093
4,400,38269576
5,451,40616604
5,479,40925567
2,398,37187014
2,616,45198946
7,411,39621246
5,363,41907581
3,468,39673430
9,474,40372852
2,408,42238779
4,400,40434796
5,433,41078657
1,453,42822755
3,478,43172283
7,455,45934254
3,320,33519724
